-1.2468488503 0.0271458836 0.0237392640 0.0424222777 0.0116498394 0.0228596852 0.0659422194 0.1300142395 0.0050555705 0.0190133662 0.0282450478 0.0219807626 0.0109904145 0.0056050153 0.0990224567 0.2651970564 0.2681625387 0.0012089405 0.0045060101 0.1940882622
0.0408658344 -1.0348874675 0.0191922879 0.0079415168 0.0206813962 0.1240861367 0.0196886191 0.1015850395 0.0737908516 0.0125742420 0.0339170720 0.3884776140 0.0100924876 0.0026471764 0.0359024301 0.0683308170 0.0380532021 0.0180341289 0.0076106191 0.0114159961
0.0428864596 0.0230315574 -1.2967237563 0.2845188536 0.0063536338 0.0315690929 0.0357390693 0.0577773075 0.0925244558 0.0258115367 0.0125085381 0.1505012025 0.0077434781 0.0029781849 0.0061549997 0.3450795939 0.1375940171 0.0003971072 0.0226344860 0.0109201823
0.0635990776 0.0079086782 0.2361103034 -1.0722952662 0.0021419694 0.0214193064 0.4801285537 0.0950686339 0.0237263162 0.0060963218 0.0056020509 0.0168061621 0.0044486834 0.0013181167 0.0064258512 0.0402028093 0.0248794544 0.0008238326 0.0146640115 0.0209251336
0.0441555280 0.0520701241 0.0133301298 0.0054152881 -0.5486133396 0.0037490335 0.0033325307 0.0408229077 0.0166626290 0.0079147361 0.0149962328 0.0029159375 0.0095810556 0.0274929175 0.0062484334 0.1470474575 0.0274931023 0.0158295388 0.0683160642 0.0412396928
0.0427909970 0.1542939987 0.0327108114 0.0267442688 0.0018515538 -1.0473562620 0.2112825849 0.0172808999 0.1306372106 0.0041145756 0.0645980634 0.1765146205 0.0106978800 0.0018515320 0.0812618230 0.0374423576 0.0306531914 0.0024687452 0.0082290277 0.0119321204
0.0819872350 0.0162607865 0.0245964808 0.3981836108 0.0010931801 0.1403344261 -0.9600705196 0.0833533292 0.0056025199 0.0058757948 0.0088819558 0.1030317346 0.0040994168 0.0017763894 0.0097018408 0.0213168330 0.0194036325 0.0016397660 0.0020496900 0.0308818974
0.1337521011 0.0694197522 0.0329013749 0.0652364187 0.0110802225 0.0094971629 0.0689683702 -0.6234248450 0.0046355792 0.0028265826 0.0063314856 0.0160549403 0.0030526939 0.0020350924 0.0105147491 0.1278738446 0.0185421305 0.0078013645 0.0016959075 0.0312050724
0.0169073341 0.1639272292 0.1712807508 0.0529271420 0.0147022344 0.2333940089 0.0150697378 0.0150695149 -1.1346312284 0.0095564134 0.0492519644 0.0312421618 0.0077186592 0.0183774368 0.0577055733 0.0507224220 0.0279338599 0.0018377748 0.1889208652 0.0080861453
0.0277997556 0.0122125791 0.0208902136 0.0059455634 0.0030531860 0.0032138445 0.0069098069 0.0040172971 0.0041780336 -1.2842540082 0.2127568494 0.0120520339 0.1131286277 0.0314954577 0.0049814446 0.0276392438 0.1494436195 0.0019283354 0.0098021838 0.6328059327
0.0238277580 0.0190065299 0.0058410978 0.0031523257 0.0033377814 0.0291124132 0.0060265227 0.0051920253 0.0124239433 0.1227559221 -0.6732991208 0.0087153265 0.0903055971 0.1013369158 0.0535893881 0.0404240630 0.0159469743 0.0076027249 0.0077880595 0.1169137522
